ReadName	AssignedTaxonID	AssignedName	Probability
0a5011f0-aceb-497e-a643-15be36a232c6	287	Pseudomonas aeruginosa	1.0000
00aa3a00-1224-4048-916e-b53db78843d1	287	Pseudomonas aeruginosa	1.0000
0becee25-7f3a-4c87-b5e7-2eb86f6cbbd8	Unknown	Unknown	1.0000
0c58b1bb-da49-45a9-8932-839c9bf27c46	Unknown	Unknown	1.0000
0d9a2661-cde2-4dde-a9ba-fa43974f26eb	287	Pseudomonas aeruginosa	1.0000
0fc5c1c1-7467-4e64-aed2-1cc0fd3df2b0	287	Pseudomonas aeruginosa	1.0000
1af75e1e-a87b-4c53-af05-6e98ba7051e5	287	Pseudomonas aeruginosa	1.0000
1b94b8ea-1e44-484c-b345-dac1db99f6df	Unknown	Unknown	1.0000
1bdcfa96-6c95-4eb8-abd8-4d7b8b7d1334	Unknown	Unknown	0.9992
1c5657a0-219e-41b7-992e-9d986a859408	287	Pseudomonas aeruginosa	1.0000
1cd7244c-65f2-4ad6-8d7e-3c362695dc5c	Unknown	Unknown	0.5302
2c875e05-4f45-4e4c-8c07-0041ea149b4e	287	Pseudomonas aeruginosa	1.0000
2cbc693a-ab54-42c1-8729-dd7d1d32ff63	Unknown	Unknown	1.0000
2ecb7bf8-6f5e-43dd-8375-efff15345fac	287	Pseudomonas aeruginosa	1.0000
03b28b25-7cda-4872-92f2-feb735dbf029	287	Pseudomonas aeruginosa	1.0000
3ba3f93a-d24c-4bdb-a953-be93093ed42a	287	Pseudomonas aeruginosa	1.0000
3d10ab7e-b075-455b-8a49-3001ca368586	287	Pseudomonas aeruginosa	1.0000
3e2f65cd-ea00-44f5-a5f6-0957cce03531	287	Pseudomonas aeruginosa	1.0000
4a5d19a8-7cfa-43d9-8f14-9597bddb6424	287	Pseudomonas aeruginosa	1.0000
04a7fb7c-21e1-4e52-9c38-5c6158432bb9	287	Pseudomonas aeruginosa	1.0000
4b0fc39a-23f4-4db5-8d2a-7810feb50c7e	287	Pseudomonas aeruginosa	1.0000
4cef2f8c-c403-4c25-a39b-8c4fa93da149	Unknown	Unknown	1.0000
4ee8d37e-fe8a-4eb5-a851-dd9cdc32c1ab	287	Pseudomonas aeruginosa	0.9781
5ad9fdd8-50d5-4c9c-9eac-1971746e9bbc	Unknown	Unknown	1.0000
05b712ad-e43b-4e94-8422-0bf6e4d5d53c	Unknown	Unknown	1.0000
5dca94a5-ccc6-43f5-848b-d9b8caffd62b	Unknown	Unknown	1.0000
5e684395-2977-4239-8729-f409dd0a7014	287	Pseudomonas aeruginosa	1.0000
5f721290-68c1-4133-8e10-69ca8661c9a0	287	Pseudomonas aeruginosa	1.0000
6a93c86b-a81e-4247-86f8-68d7d280f9a6	287	Pseudomonas aeruginosa	1.0000
6ab85e48-f1e7-4902-88d2-3fa97d67c0a3	287	Pseudomonas aeruginosa	1.0000
6e0d97c9-440b-43d8-96bb-db4bb1dd0c2f	287	Pseudomonas aeruginosa	1.0000
6e3869e2-0122-486a-b351-98ea3d0f9574	287	Pseudomonas aeruginosa	1.0000
6f30cbc4-29db-449a-bb66-f0413bccb0c0	Unknown	Unknown	1.0000
